"ING PSP - Settings","ING PSP - Settings"
"API Key","API Key"
"ING PSP - iDEAL","ING PSP - iDEAL"
"ING PSP - Cashondelivery”,”ING PSP - Cash on Delivery”
"ING PSP - Banktransfer","ING PSP - Bank transfer"
"ING PSP - Mastercard, VISA, Maestro of V PAY","ING PSP - Mastercard, VISA, Maestro of V PAY"
"Enabled","Enabled"
"Description","Description"

"Choose your bank:","Choose your bank:"

"Payment is pending","Payment is pending"
"Payment is completed","Payment is completed"
"Payment is cancelled","Payment is cancelled"
"Payment failed with an error","Payment failed with an error"
"Amounts don't match. Possible fraud","Amounts don't match. Possible fraud"

"Your order has been received.","Your order has been received."
"Thank you for your purchase!","Thank you for your purchase!"
"Payment instructions:","Payment instructions:"
"Please use the following data to make the banktransfer","Please use the following data to make the bank transfer"
"ING processes the payments for","ING processes the payments for"
"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","Do not forget to use the reference in your bank transfer. Without the reference the processing of your payment can take more time!"

"Amount:","Amount:"
"Reference:","Reference:"
"Account number:","Account number:"
"IBAN:","IBAN:"
"BIC:","BIC:"
"Account holder:","Account holder:"
"City:","City:"

"Test API Key","Test API Key"
"Product","ING PSP Product"
"Webhook URL","Webhook URL"
"Bundle CA.cert file","Bundle cURL ca.cert"
"Include Webhook URL with every order creation","Automatically provide webhook URL with each generated order to the ING PSP API."
"Used for testing Klarna payment method.","The Test API Key is Applicable only for testing Klarna. Remove when not used."
"Resolves issue when curl.cacert path is not set in PHP.ini","Resolves issue when curl.cacert path is not set in PHP.ini"
"Yes","Yes"
"No","No"
"Title","Title"
"Payment from Specific Countries","Allow payment from specific countries using this payment method"
"Send order mail","Send an order confirmation email to the shopper"
"Generate invoice upon succesfull transaction","Generate invoice upon successful transaction"
"Sort order","Sort order"
"IP Filtering","IP address(es) for testing."
"Example: 127.0.0.1, 255.255.255.255","You can limit the availability of Klarna to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses."