"ING PSP - Settings","ING PSP - Instellingen"
"API Key","API Key"
"ING PSP - iDEAL","ING PSP - iDEAL"
"ING PSP - Banktransfer","ING PSP - Overboeking"
"ING PSP - Cashondelivery","ING PSP - Rembours"
"ING PSP - Mastercard, VISA, Maestro of V PAY","ING PSP - Mastercard, VISA, Maestro of V PAY"
"Enabled","Ingeschakeld"
"Description","Omschrijving"

"Choose your bank:","Kies uw bank:"

"Payment is pending","Betaling wordt verwerkt"
"Payment is completed","Betaling is afgerond"
"Payment is cancelled","Betaling is geannuleerd"
"Payment failed with an error","Betaling is mislukt door een fout"
"Amounts don't match. Possible fraud","Bedragen komen niet overheen, mogelijke fraude"

"Your order has been received.","Uw bestelling is ontvangen."
"Thank you for your purchase!","Bedankt voor uw aankoop!"
"Payment instructions:","Betaalinstructies:"
"Please use the following data to make the banktransfer","Gebuik de volgende gegevens voor uw overboeking"
"ING processes the payments for","ING verwerkt de betaling voor"
"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Vergeet u niet het juiste betaalkenmerk te vermelden. Zonder het juiste betaalkenmerk kan de verwerking van uw betaling meer tijd kosten."

"Amount:","Bedrag:"
"Reference:","Kenmerk:"
"Account number:","Rekeningnummer:"
"IBAN:","IBAN:"
"BIC:","BIC:"
"Account holder:","Rekeninghouder:"
"City:","Woonplaats:"

"Test API Key","Test API Key"
"Product","ING PSP Product"
"Webhook URL","Webhook URL"
"Bundle CA.cert file","Gebruik cURL CA bundel"
"Include Webhook URL with every order creation","Genereer de webhook URL automatisch in de API"
"Used for testing Klarna payment method.","De Test API Key is alleen van toepassing voor Klarna. Verwijderen wanneer deze niet wordt gebruikt."
"Resolves issue when curl.cacert path is not set in PHP.ini","Voorkomt probleem indien curl.cacert niet ingesteld is in PHP.ini"
"Yes","Ja"
"No","Nee"
"Title","Titel"
"Payment from Specific Countries","Sta betaling uit specifieke landen toe met deze betaalmethode"
"Send order mail","Stuur een orderbevestiging e-mail naar de shopper"
"Generate invoice upon succesfull transaction","Genereer factuur bij succesvolle transactie"
"Sort order","Sorteervolgorde"
"IP Filtering","IP adres(sen) voor testen."
"Example: 127.0.0.1, 255.255.255.255","U  kunt specifieke IP adressen opgeven waarvoor de betaalmethode Klarna zichtbaar is, bv als u wilt testen  (bijvoorbeeld: 128.0.0.1, 255.255.255.255). Vult u niets in dan is Klarna voor alle IP adressen zichtbaar."